lat,lng,Add1,Add2,Add3,Add4,Add5,Add6,Add7,zipcode,country
40.251492,-75.6033497,Overlook Drive, Lower Pottsgrove Township, Montgomery County, Pennsylvania,,,,19464, United States of America
40.1600044,-77.686813,Pennsylvania Turnpike, Amberson, Franklin County, Pennsylvania,,,,17210, United States of America
40.4064881,-75.5018477,Bank Street, East Greenville, Montgomery County, Pennsylvania,,,,18041, United States of America
40.3909328,-75.4921248,Main Street, Red Hill, Montgomery County, Pennsylvania,,,,18041, United States of America
40.3730901,-75.4819167,Main Street, Red Hill, Montgomery County, Pennsylvania,,,,18041, United States of America
40.4118569,-75.5070253,Main Street, Red Hill, Montgomery County, Pennsylvania,,,,18041, United States of America
40.4161449,-75.5119705,Main Street, Red Hill, Montgomery County, Pennsylvania,,,,18041, United States of America
40.4427671,-75.5032779,W Mill Hill Rd, Lower Milford, Lehigh County, Pennsylvania,,,,18070, United States of America
40.418989,-75.5521466,County Line Road, Hereford Township, Montgomery County, Pennsylvania,,,,18070, United States of America
40.3847701,-75.4880931,West 11th Street, Red Hill, Montgomery County, Pennsylvania,,,,18073, United States of America
40.3838109,-75.4904159,West 11th Street, Red Hill, Montgomery County, Pennsylvania,,,,18073, United States of America
40.3102297,-75.5003267,Perkiomenville Road, Upper Frederick Township, Montgomery County, Pennsylvania,,,,18074, United States of America
40.3097107,-75.5101999,Little Road, Lower Frederick, Montgomery County, Pennsylvania,,,,18074, United States of America
40.3664929,-75.4461256,Hiffletrayer Road, Marlborough Township, Montgomery County, Pennsylvania,,,,18074, United States of America
40.2832444,-75.5231343,Neiffer Road, Upper Frederick Township, Montgomery County, Pennsylvania,,,,18074, United States of America
40.2902517,-75.5311192,Fagleysville Road, Upper Frederick Township, Montgomery County, Pennsylvania,,,,18074, United States of America
40.3728778,-75.4810131,Bitting Alley, Red Hill, Montgomery County, Pennsylvania,,,,18076, United States of America
40.3412385,-75.4773625,Gravel Pike, Green Lane, Montgomery County, Pennsylvania,,,,18076, United States of America
40.3615933,-75.5057014,Knight Road, Marlborough Township, Montgomery County, Pennsylvania,,,,18076, United States of America
40.3812265,-75.48418,East 8th Street, Red Hill, Montgomery County, Pennsylvania,,,,18076, United States of America
40.3537815,-75.4816505,Knight Road, Marlborough Township, Montgomery County, Pennsylvania,,,,18076, United States of America
40.3506902,-75.4335462,Swamp Creek Road, Marlborough Township, Montgomery County, Pennsylvania,,,,18084, United States of America
40.3531049,-75.5258807,Hill Road, Upper Frederick Township, Montgomery County, Pennsylvania,,,,18084, United States of America
40.3533511,-75.4572477,Geryville Pike, Marlborough Township, Montgomery County, Pennsylvania,,,,18084, United States of America
40.3262463,-75.4564598,Church Road, Marlborough Township, Montgomery County, Pennsylvania,,,,18084, United States of America
40.2735513,-75.1695341,Bristol Road, Warrington Township, Bucks County, Pennsylvania,,,,18194, United States of America
40.30479,-75.3638279,Harleysville Pike, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.3072004,-75.358305,Harleysville Pike, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.3145367,-75.3528779,Alexander Drive, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.2867873,-75.361651,Schoolhouse Road, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.2556874,-75.3197709,Allentown Road, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.3056819,-75.3652445,Meetinghouse Road, Franconia Township, Montgomery County, Pennsylvania,,,,18924, United States of America
40.3030379,-75.2598757,Hilltown Pike, Hilltown Township, Bucks County, Pennsylvania,,,,18932, United States of America
40.2897645,-75.2693082,Bethlehem Pike, Hatfield Township, Montgomery County, Pennsylvania,,,,18932, United States of America
40.348132,-75.334199,Cathill Road, West Rockhill, Bucks County, Pennsylvania,,,,18960, United States of America
40.3265629,-75.294418,Souderton Road, Hilltown Township, Bucks County, Pennsylvania,,,,18962, United States of America
40.3117706,-75.3251759,North Main Street, Souderton, Montgomery County, Pennsylvania,,,,18964, United States of America
40.299124,-75.3086342,East Township Line Road, Hatfield Township, Montgomery County, Pennsylvania,,,,18964, United States of America
40.3179423,-75.3291573,East Reliance Road, Telford, Montgomery County, Pennsylvania,,,,18964, United States of America
40.3107909,-75.3363427,West Reliance Road, Souderton, Montgomery County, Pennsylvania,,,,18964, United States of America
40.3133925,-75.3394427,Cowpath Road, Franconia Township, Montgomery County, Pennsylvania,,,,18969, United States of America
40.3127544,-75.434939,Barndt Road, Upper Salford Township, Montgomery County, Pennsylvania,,,,18969, United States of America
40.3260149,-75.320995,East Reliance Road, Telford, Bucks County, Pennsylvania,,,,18969, United States of America
40.2987355,-75.3928027,Mill Road, Franconia Township, Montgomery County, Pennsylvania,,,,18969, United States of America
40.3169885,-75.320067,Hillcrest Avenue, Souderton, Montgomery County, Pennsylvania,,,,18969, United States of America
40.4213146,-75.4480407,John Fries Highway, Milford, Bucks County, Pennsylvania,,,,18970, United States of America
40.197056,-75.0817219,Jacksonville Road, Ivyland, Bucks County, Pennsylvania,,,,18974, United States of America
40.247757,-75.1671027,West Street Road, Warrington Township, Bucks County, Pennsylvania,,,,18976, United States of America
40.1198332,-75.1253492,Jericho Road, Abington Township, Montgomery County, Pennsylvania,,,,19001, United States of America
40.111631,-75.121396,Brook Road, Abington Township, Montgomery County, Pennsylvania,,,,19001, United States of America
40.1371268,-75.1099188,Moreland Road, Upper Moreland Township, Montgomery County, Pennsylvania,,,,19001, United States of America
40.1532684,-75.1895576,Tressler Drive, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1793752,-75.2362381,Sturgis Lane, Lower Gwynedd Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1324422,-75.2031093,Pennsylvania Avenue, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1760925,-75.2369898,Penllyn Pike, Lower Gwynedd Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1732284,-75.1828277,Limekiln Pike, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1606201,-75.1782526,Dillon Road, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1554438,-75.2051293,Loch Alsh Avenue, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1562541,-75.1925731,Fort Washington Avenue, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1776496,-75.2646635,Township Line Road, Upper Gwynedd Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1602422,-75.1786273,Dillon Road, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19002, United States of America
40.1507107,-75.0552739,Chimney Swift Drive, Lower Moreland Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1489852,-75.033499,Buck Road, Lower Moreland Township, Bucks County, Pennsylvania,,,,19006, United States of America
40.1223714,-75.0782679,Valley Road, Lower Moreland Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1483375,-75.0977475,Terwood Road, Upper Moreland Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1112176,-75.0764435,Huntingdon Pike, Abington Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1409197,-75.0935968,Edge Hill Road, Upper Moreland Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1139191,-75.0883542,Valley Road, Abington Township, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1361086,-75.053822,Buck Road, Lower Moreland Township, Bucks County, Pennsylvania,,,,19006, United States of America
40.0828992,-75.0917889,Huntingdon Pike, Rockledge, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1355228,-75.0617652,Huntingdon Pike, Bryn Athyn, Montgomery County, Pennsylvania,,,,19006, United States of America
40.1417954,-75.0703206,Paper Mill Road, Bryn Athyn, Montgomery County, Pennsylvania,,,,19006, United States of America
40.0125442,-75.3621099,Clyde Road, Radnor Township, Delaware County, Pennsylvania,,,,19010, United States of America
40.0330621,-75.333805,East County Line Road, Radnor Township, Delaware County, Pennsylvania,,,,19010, United States of America
40.0369008,-75.3558181,East Lancaster Avenue, Radnor Township, Delaware County, Pennsylvania,,,,19010, United States of America
40.0303728,-75.3630235,Conestoga Road, Radnor Township, Delaware County, Pennsylvania,,,,19010, United States of America
40.0139085,-75.3662691,Sproul Road, Radnor Township, Delaware County, Pennsylvania,,,,19010, United States of America
40.0393846,-75.3206886,North Ithan Avenue, Lower Merion Township, Montgomery County, Pennsylvania,,,,19010, United States of America
40.0515145,-75.3031772,Roscommon Road, Lower Merion Township, Montgomery County, Pennsylvania,,,,19010, United States of America
40.1213415,-75.1336768,Susquehanna Road, Abington Township, Montgomery County, Pennsylvania,,,,19025, United States of America
40.1607092,-75.1495402,Dreshertown Road, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19025, United States of America
40.1357247,-75.1600335,Twining Road, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19025, United States of America
40.1585606,-75.1651454,Jarrettown Road, Upper Dublin Township, Montgomery County, Pennsylvania,,,,19025, United States of America
40.0732571,-75.0998688,Perry Street, Abington Township, Montgomery County, Pennsylvania,,,,19027, United States of America
40.1192546,-75.2362381,Joshua Road, Whitemarsh Township, Montgomery County, Pennsylvania,,,,19034, United States of America
40.1249557,-75.1967351,Camp Hill Road, Springfield Township, Montgomery County, Pennsylvania,,,,19034, United States of America
40.1450898,-75.1986934,Highland Avenue, Ambler, Montgomery County, Pennsylvania,,,,19034, United States of America
40.1194905,-75.2467748,Militia Hill Road, Whitemarsh Township, Montgomery County, Pennsylvania,,,,19034, United States of America
